Region,Year,Educational Attainment,Median Income
"Stevens, Okanogan, Pend Oreille & Ferry Counties",2016,        Graduate or professional degree,63171.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",2016,        Less than high school graduate,21832.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",2016,        High school graduate (includes equivalency),31623.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",2016,        Some college or associate's degree,31466.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",2016,        Bachelor's degree,38152.0
"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties",2016,        Graduate or professional degree,42147.0
Grant & Kittitas Counties,2016,        Less than high school graduate,25803.0
Grant & Kittitas Counties,2016,        High school graduate (includes equivalency),27298.0
Grant & Kittitas Counties,2016,        Some college or associate's degree,31594.0
Grant & Kittitas Counties,2016,        Bachelor's degree,31761.0
Grant & Kittitas Counties,2016,        Graduate or professional degree,65157.0
"Lewis, Klickitat & Skamania Counties",2016,        Less than high school graduate,21732.0
"Lewis, Klickitat & Skamania Counties",2016,        High school graduate (includes equivalency),30809.0
"Lewis, Klickitat & Skamania Counties",2016,        Some college or associate's degree,31472.0
"Lewis, Klickitat & Skamania Counties",2016,        Bachelor's degree,34919.0
"Lewis, Klickitat & Skamania Counties",2016,        Graduate or professional degree,55744.0
"Cowlitz, Pacific & Wahkiakum Counties",2016,        Less than high school graduate,22301.0
"Cowlitz, Pacific & Wahkiakum Counties",2016,        High school graduate (includes equivalency),33129.0
"Cowlitz, Pacific & Wahkiakum Counties",2016,        Some college or associate's degree,30593.0
"Cowlitz, Pacific & Wahkiakum Counties",2016,        Bachelor's degree,47999.0
"Cowlitz, Pacific & Wahkiakum Counties",2016,        Graduate or professional degree,64299.0
Grays Harbor & Mason Counties,2016,        Less than high school graduate,12469.0
Grays Harbor & Mason Counties,2016,        High school graduate (includes equivalency),26925.0
Grays Harbor & Mason Counties,2016,        Some college or associate's degree,28419.0
Grays Harbor & Mason Counties,2016,        Bachelor's degree,47148.0
Grays Harbor & Mason Counties,2016,        Graduate or professional degree,49881.0
Clallam & Jefferson Counties,2016,        Less than high school graduate,18210.0
Clallam & Jefferson Counties,2016,        High school graduate (includes equivalency),31232.0
Clallam & Jefferson Counties,2016,        Some college or associate's degree,31810.0
Clallam & Jefferson Counties,2016,        Bachelor's degree,38591.0
Clallam & Jefferson Counties,2016,        Graduate or professional degree,45548.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2016,        Less than high school graduate,67139.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2016,        High school graduate (includes equivalency),90827.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2016,        Some college or associate's degree,109303.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2016,        Bachelor's degree,180505.0
"Benton, Franklin, Kennewick, Richland & Walla Walla Counties",2016,        Graduate or professional degree,202856.0
Clark County,2016,        Less than high school graduate,129604.0
Clark County,2016,        High school graduate (includes equivalency),135533.0
Clark County,2016,        Some college or associate's degree,151592.0
Clark County,2016,        Bachelor's degree,228627.0
Clark County,2016,        Graduate or professional degree,270683.0
King County,2016,        Less than high school graduate,281787.0
King County,2016,        High school graduate (includes equivalency),397959.0
King County,2016,        Some college or associate's degree,479449.0
King County,2016,        Bachelor's degree,757965.0
King County,2016,        Graduate or professional degree,911296.0
Kitsap County,2016,        Less than high school graduate,49720.0
Kitsap County,2016,        High school graduate (includes equivalency),68501.0
Kitsap County,2016,        Some college or associate's degree,78452.0
Kitsap County,2016,        Bachelor's degree,107987.0
Kitsap County,2016,        Graduate or professional degree,137940.0
Pierce County,2016,        Less than high school graduate,185613.0
Pierce County,2016,        High school graduate (includes equivalency),244930.0
Pierce County,2016,        Some college or associate's degree,281747.0
Pierce County,2016,        Bachelor's degree,375562.0
Pierce County,2016,        Graduate or professional degree,495275.0
Spokane County,2016,        Less than high school graduate,107429.0
Spokane County,2016,        High school graduate (includes equivalency),117706.0
Spokane County,2016,        Some college or associate's degree,126950.0
Spokane County,2016,        Bachelor's degree,186223.0
Spokane County,2016,        Graduate or professional degree,230284.0
Snohomish County,2016,        Less than high school graduate,181875.0
Snohomish County,2016,        High school graduate (includes equivalency),221331.0
Snohomish County,2016,        Some college or associate's degree,265043.0
Snohomish County,2016,        Bachelor's degree,376912.0
Snohomish County,2016,        Graduate or professional degree,465404.0
Thurston County,2016,        Less than high school graduate,55940.0
Thurston County,2016,        High school graduate (includes equivalency),59015.0
Thurston County,2016,        Some college or associate's degree,76996.0
Thurston County,2016,        Bachelor's degree,110568.0
Thurston County,2016,        Graduate or professional degree,126501.0
Yakima County,2016,        Less than high school graduate,44857.0
Yakima County,2016,        High school graduate (includes equivalency),60802.0
Yakima County,2016,        Some college or associate's degree,64474.0
Yakima County,2016,        Bachelor's degree,90331.0
Yakima County,2016,        Graduate or professional degree,127628.0
